,neighbourhood_group, mean_price,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,new_price
3522,Brooklyn,120.22525762129668,4717237,Spacious Apt in Bushwick!,2358032,Vanessa,Bushwick,40.70027,-73.9231,Entire home/apt,90,4,8,2017-09-17,0.21,1,0,9000
3523,Brooklyn,120.22525762129668,4718031,Cool artist apartment in Williamsburg/Bushwick,9633085,Henrique,Williamsburg,40.70659,-73.94049,Entire home/apt,132,4,7,2018-08-20,0.12,1,0,13200
3524,Brooklyn,120.22525762129668,4718314,Cozy apartment in Brooklyn,24374791,Emelie,Bedford-Stuyvesant,40.67893,-73.95236,Entire home/apt,90,4,12,2016-04-14,0.17,2,0,9000
3525,Brooklyn,120.22525762129668,4720142,"Fresh, Quite and Poppin.",21466735,Stephen,Carroll Gardens,40.68234,-73.9932,Private room,65,1,0,,,1,0,6500
3526,Brooklyn,120.22525762129668,4721007,Cozy Bedroom in Brooklyn,6720617,Nadine,Crown Heights,40.67116,-73.93582,Private room,40,1,1,2015-01-06,0.01,1,0,4000
3527,Brooklyn,120.22525762129668,4724857,Bed-Stuy Brownstone,12729740,Petey,Bedford-Stuyvesant,40.68467,-73.92863,Private room,75,1,0,,,1,0,7500
3528,Brooklyn,120.22525762129668,4724943,Charming 1BD Across from Park,24403405,Naomi,Crown Heights,40.67163,-73.94265,Entire home/apt,82,1,1,2015-01-01,0.01,1,0,8200
3529,Brooklyn,120.22525762129668,4725852,Cozy home in Williamsburg BK,405090,Sacha,Williamsburg,40.7119,-73.96377,Entire home/apt,108,29,11,2020-05-06,0.2,1,0,10800
3530,Brooklyn,120.22525762129668,4727731,Prime Williamsburg Loft Oasis with Garden!,18746337,Adam,Williamsburg,40.71064,-73.96335,Entire home/apt,200,2,19,2020-01-01,1.31,1,226,20000
3531,Brooklyn,120.22525762129668,4728136,Private 2-room space (ba and kitchen shared),12261576,Bohdana,Sunset Park,40.65014,-74.00615,Private room,40,7,13,2019-11-14,0.2,2,0,4000
3532,Brooklyn,120.22525762129668,4729374,Sunny Private Bedroom in Bushwick,799566,Sarah,Bushwick,40.69702,-73.93365,Private room,80,2,0,,,1,0,8000
3533,Brooklyn,120.22525762129668,4730371,Hipster-Chic Bushwick Apartment,6898927,Sarah,Bushwick,40.69738,-73.91162,Private room,40,60,9,2019-01-01,0.15,1,124,4000
3534,Brooklyn,120.22525762129668,4734170,Modern 1 BD near Prospect Park,17893360,Charles,Crown Heights,40.67238,-73.95768,Entire home/apt,112,1,18,2017-04-14,0.3,1,0,11200
3535,Brooklyn,120.22525762129668,4734709,Bright & quiet 2 bedroom brownstone,6274029,Belle,Prospect Heights,40.67895,-73.97233,Entire home/apt,200,4,5,2016-12-31,0.08,1,0,20000
3536,Brooklyn,120.22525762129668,4737830,great room in the best place,24459029,Nima,Crown Heights,40.67083,-73.94944,Private room,44,1,3,2015-07-15,0.04,1,0,4400
3537,Brooklyn,120.22525762129668,4738250,room in prime williamsburg,24461143,Jisoo,Williamsburg,40.71754,-73.96228,Private room,78,1,0,,,1,0,7800
